"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AVWAGE","TOT","USD","A","1991",42309.381475963,
"AUS","AVWAGE","TOT","USD","A","1992",43173.7713335452,
"AUS","AVWAGE","TOT","USD","A","1993",43578.2414216826,
"AUS","AVWAGE","TOT","USD","A","1994",43873.8569453328,
"AUS","AVWAGE","TOT","USD","A","1995",43715,
"AUS","AVWAGE","TOT","USD","A","1996",44976.27559367,
"AUS","AVWAGE","TOT","USD","A","1997",46355.5550944577,
"AUS","AVWAGE","TOT","USD","A","1998",46999.635104298,
"AUS","AVWAGE","TOT","USD","A","1999",48064.8702398545,
"AUS","AVWAGE","TOT","USD","A","2000",48213.0886758407,
"AUS","AVWAGE","TOT","USD","A","2001",48693.3022958347,
"AUS","AVWAGE","TOT","USD","A","2002",49140.6312919188,
"AUS","AVWAGE","TOT","USD","A","2003",49849.375153206,
"AUS","AVWAGE","TOT","USD","A","2004",51414.3183931236,
"AUS","AVWAGE","TOT","USD","A","2005",52013.9397458168,
"AUS","AVWAGE","TOT","USD","A","2006",52368,
"AUS","AVWAGE","TOT","USD","A","2007",53805,
"AUS","AVWAGE","TOT","USD","A","2008",54149,
"AUS","AVWAGE","TOT","USD","A","2009",53644,
"AUS","AVWAGE","TOT","USD","A","2010",55536,
"AUS","AVWAGE","TOT","USD","A","2011",57361,
"AUS","AVWAGE","TOT","USD","A","2012",57752,
"AUS","AVWAGE","TOT","USD","A","2013",57579,
"AUS","AVWAGE","TOT","USD","A","2014",58102,
"AUS","AVWAGE","TOT","USD","A","2015",57744,
"AUS","AVWAGE","TOT","USD","A","2016",57885,
"AUS","AVWAGE","TOT","USD","A","2017",57619,
"AUS","AVWAGE","TOT","USD","A","2018",57843,
"AUS","AVWAGE","TOT","USD","A","2019",58620,
"AUS","AVWAGE","TOT","USD","A","2020",60377,
"AUS","AVWAGE","TOT","USD","A","2021",60681.4985470798,
"AUS","AVWAGE","TOT","USD","A","2022",59407.8899794982,
"AUT","AVWAGE","TOT","USD","A","1991",52697.396613846,
"AUT","AVWAGE","TOT","USD","A","1992",53759.0566496298,
"AUT","AVWAGE","TOT","USD","A","1993",54197.3697073466,
"AUT","AVWAGE","TOT","USD","A","1994",54743.42405879,
"AUT","AVWAGE","TOT","USD","A","1995",55184,
"AUT","AVWAGE","TOT","USD","A","1996",54819.6165178154,
"AUT","AVWAGE","TOT","USD","A","1997",54346.9450542579,
"AUT","AVWAGE","TOT","USD","A","1998",56101.1425172093,
"AUT","AVWAGE","TOT","USD","A","1999",57354.8995810643,
"AUT","AVWAGE","TOT","USD","A","2000",57529.017471462,
"AUT","AVWAGE","TOT","USD","A","2001",57344.6595639472,
"AUT","AVWAGE","TOT","USD","A","2002",58229.1677845208,
"AUT","AVWAGE","TOT","USD","A","2003",58368.8732080416,
"AUT","AVWAGE","TOT","USD","A","2004",59473.2547857365,
"AUT","AVWAGE","TOT","USD","A","2005",59801.3699326072,
"AUT","AVWAGE","TOT","USD","A","2006",60698,
"AUT","AVWAGE","TOT","USD","A","2007",61047,
"AUT","AVWAGE","TOT","USD","A","2008",62081,
"AUT","AVWAGE","TOT","USD","A","2009",63135,
"AUT","AVWAGE","TOT","USD","A","2010",62831,
"AUT","AVWAGE","TOT","USD","A","2011",62159,
"AUT","AVWAGE","TOT","USD","A","2012",62515,
"AUT","AVWAGE","TOT","USD","A","2013",62568,
"AUT","AVWAGE","TOT","USD","A","2014",62801,
"AUT","AVWAGE","TOT","USD","A","2015",63231,
"AUT","AVWAGE","TOT","USD","A","2016",63860,
"AUT","AVWAGE","TOT","USD","A","2017",63856,
"AUT","AVWAGE","TOT","USD","A","2018",64101,
"AUT","AVWAGE","TOT","USD","A","2019",64623,
"AUT","AVWAGE","TOT","USD","A","2020",64648,
"AUT","AVWAGE","TOT","USD","A","2021",65402.3162965476,
"AUT","AVWAGE","TOT","USD","A","2022",63801.6204977341,
"BEL","AVWAGE","TOT","USD","A","1991",53018.6391581166,
"BEL","AVWAGE","TOT","USD","A","1992",54718.7288916038,
"BEL","AVWAGE","TOT","USD","A","1993",55868.8318085494,
"BEL","AVWAGE","TOT","USD","A","1994",56952.7771137702,
"BEL","AVWAGE","TOT","USD","A","1995",56759,
"BEL","AVWAGE","TOT","USD","A","1996",57470.5568655042,
"BEL","AVWAGE","TOT","USD","A","1997",58203.3751399722,
"BEL","AVWAGE","TOT","USD","A","1998",58238.2834007068,
"BEL","AVWAGE","TOT","USD","A","1999",61484.4122133103,
"BEL","AVWAGE","TOT","USD","A","2000",60929.1405210416,
"BEL","AVWAGE","TOT","USD","A","2001",61114.8303582574,
"BEL","AVWAGE","TOT","USD","A","2002",62692.5857677577,
"BEL","AVWAGE","TOT","USD","A","2003",63066.2951835172,
"BEL","AVWAGE","TOT","USD","A","2004",62735.500110825,
